electrolyte,electrolyte_type,B_MX_0_simplified,B_MX_1_simplified,std_dev_simplified,ref_simplified,max_molality_simplified,B_MX_0_original,B_MX_1_original,B_MX_2_original,C_MX_phi_original,std_dev_original,ref_original,max_molality_original,r_M_angstrom,r_X_angstrom,cation_type,anion_type
Cr(NO3)3,3-1,0.6136,5.6223,0.024,13,1.20,0.7040,5.1847,0.00,-0.0590,0.004,9,1.40,0.62,1.79,k,c
CrCl3,3-1,0.6661,5.7568,0.018,13,1.20,0.7364,5.2553,0.00,-0.0451,0.005,9,1.20,0.62,1.81,k,c
EuCl3,3-1,0.5742,5.7733,0.033,13,1.80,0.6247,5.5900,0.00,-0.0264,0.007,9,1.80,0.95,1.81,k,c
LaCl3,3-1,0.5495,5.7110,0.039,13,1.80,0.6105,5.4873,0.00,-0.0320,0.007,9,1.80,1.05,1.81,k,c
NdCl3,3-1,0.5592,5.5343,0.027,13,1.60,0.6117,5.4027,0.00,-0.0284,0.007,9,2.00,0.98,1.81,k,c
PrCl3,3-1,0.5497,5.6079,0.026,13,1.60,0.6020,5.4540,0.00,-0.0280,0.006,9,2.00,1,1.81,k,c
ScCl3,3-1,0.6426,5.5572,0.029,13,1.60,0.7000,5.3187,0.00,-0.0323,0.005,9,1.80,0.75,1.81,k,c
SmCl3,3-1,0.5697,5.6701,0.027,13,1.60,0.6220,5.5153,0.00,-0.0280,0.010,9,1.80,0.96,1.81,k,c
YCl3,3-1,0.5989,5.5042,0.031,13,1.80,0.6399,5.4440,0.00,-0.0226,0.007,9,1.80,0.9,1.81,k,c
Th(NO3)4,4-1,0.8148,12.0772,0.012,11,0.40,0.9663,11.3875,0.00,-0.1846,0.010,9,1.00,0.94,1.81,k,c
ThCl4,4-1,0.9008,14.7995,0.050,13,1.00,1.0138,13.3313,0.00,-0.1034,0.006,9,1.00,0.94,1.79,k,c
