m (mol/kg),gamma,Osmotic NH42HPO4,a_water,Beta(0) ,Beta(1),Beta(2),C(MX)
0.500,0.2967,0.7320,0.980414,0.06306,1.254,0,0.004673
0.600,0.2803,0.7247,0.976773,0.06306,1.254,0,0.004673
0.700,0.2671,0.7192,0.973159,0.06306,1.254,0,0.004673
0.800,0.2561,0.7151,0.969555,0.06306,1.254,0,0.004673
0.900,0.2470,0.7123,0.965946,0.06306,1.254,0,0.004673
1.000,0.2392,0.7107,0.962320,0.06306,1.254,0,0.004673
1.250,0.2243,0.7110,0.953104,0.06306,1.254,0,0.004673
1.500,0.2141,0.7166,0.943557,0.06306,1.254,0,0.004673
1.750,0.2072,0.7269,0.933561,0.06306,1.254,0,0.004673
2.000,0.2028,0.7410,0.923024,0.06306,1.254,0,0.004673
2.250,0.2004,0.7586,0.911877,0.06306,1.254,0,0.004673
2.500,0.1996,0.7793,0.900057,0.06306,1.254,0,0.004673
2.750,0.2004,0.8030,0.887505,0.06306,1.254,0,0.004673
3.000,0.2025,0.8295,0.874158,0.06306,1.254,0,0.004673
3.250,0.2060,0.8590,0.859942,0.06306,1.254,0,0.004673
3.500,0.2109,0.8918,0.844763,0.06306,1.254,0,0.004673
3.750,0.2173,0.9282,0.828510,0.06306,1.254,0,0.004673
4.000,0.2256,0.9688,0.811045,0.06306,1.254,0,0.004673
4.052,0.2275,0.9778,0.807238,0.06306,1.254,0,0.004673
,,,,,,,
Sodium Thionate,,,,,,,
m (mol/kg),gamma,Osmotic,a_water,,,,
0.001,0.8887,0.9624,0.999948,,,,
0.002,0.8509,0.9494,0.999897,,,,
0.003,0.8245,0.9402,0.999848,,,,
0.004,0.8038,0.9330,0.999798,,,,
0.005,0.7866,0.9269,0.999750,,,,
0.006,0.7718,0.9217,0.999701,,,,
0.007,0.7588,0.9171,0.999653,,,,
0.008,0.7471,0.9130,0.999605,,,,
0.009,0.7366,0.9093,0.999558,,,,
0.010,0.7269,0.9058,0.999511,,,,
0.020,0.6590,0.8812,0.999048,,,,
0.030,0.6161,0.8663,0.998598,,,,
0.040,0.5845,0.8532,0.998157,,,,
0.050,0.5596,0.8434,0.997723,,,,
0.060,0.5390,0.8352,0.997295,,,,
0.070,0.5214,0.8279,0.996873,,,,
0.080,0.5061,0.8215,0.996454,,,,
0.090,0.4925,0.8158,0.996040,,,,
0.100,0.4804,0.8105,0.995629,,,,
0.200,0.4019,0.7756,0.991652,,,,
0.300,0.3589,0.7574,0.987795,,,,
0.400,0.3309,0.7472,0.983976,,,,
0.500,0.3105,0.7410,0.980176,,,,
0.600,0.2947,0.7364,0.976405,,,,
0.700,0.2818,0.7326,0.972664,,,,
0.800,0.2713,0.7302,0.968921,,,,
0.852,0.2666,0.7300,0.966943,,,,
,,,,,,,
Sodium Persulfate,,,,,,,
m (mol/kg),gamma,Osmotic,a_water,,,,
0.001,0.8867,0.9613,0.999948,,,,
0.002,0.8476,0.9475,0.999898,,,,
0.003,0.8200,0.9377,0.999848,,,,
0.004,0.7984,0.9300,0.999799,,,,
0.005,0.7803,0.9235,0.999750,,,,
0.006,0.7648,0.9179,0.999702,,,,
0.007,0.7512,0.9129,0.999655,,,,
0.008,0.7390,0.9085,0.999607,,,,
0.009,0.7280,0.9045,0.999560,,,,
0.010,0.7179,0.9008,0.999513,,,,
